Trial no.	Method 1	Method 2	Method 3	Method 4	Method 5	Method 6	Method 7	Method 8	Real contrib
3		0.005572	0.020676	0.006229	0.032801	0.019395	0.022856	0.026412	0.024633	0.975610
0		-0.032650	-0.043145	-0.032498	0.033335	0.000219	-0.030232	0.022935	-0.003750	0.975610
1		0.024949	0.005430	0.022413	-0.135439	-0.056035	-0.013994	-0.139325	-0.076422	1.170732
2		-0.037726	0.006315	-0.037112	-0.002337	-0.019830	0.017405	0.031772	0.024561	0.975610
3		0.044930	0.033681	0.047459	0.146144	0.096503	0.032912	0.124982	0.078772	0.878049
0		-0.009571	0.017769	-0.007884	0.024944	0.008613	0.014583	0.060683	0.037503	0.947368
1		-0.005903	-0.018029	-0.006296	-0.057126	-0.031839	-0.019766	-0.035689	-0.027682	1.052632
2		0.012116	-0.015038	0.010874	0.175600	0.093651	0.002102	0.150304	0.075783	0.842105
3		0.004385	0.012789	0.004266	-0.096185	-0.046212	0.004508	-0.126518	-0.060633	1.157895
0		-0.016059	-0.023505	-0.016418	0.073364	0.028206	-0.003769	0.082822	0.039392	0.914286
1		-0.001850	0.000910	-0.001346	0.082701	0.040427	0.015596	0.087889	0.051630	0.914286
2		0.017074	0.024246	0.017585	-0.011485	0.003137	0.013976	-0.018900	-0.002411	1.028571
3		-0.001040	-0.003745	-0.001615	-0.114516	-0.057729	-0.022040	-0.119558	-0.070648	1.142857
0		-0.012870	-0.036640	-0.013887	0.013515	-0.000278	-0.029847	0.000514	-0.014698	1.000000
1		-0.008499	-0.005579	-0.008405	0.009957	0.000714	0.004501	0.004540	0.004521	1.000000
2		0.024476	0.031178	0.025544	-0.067254	-0.020544	0.004311	-0.087149	-0.041324	1.100000
3		-0.006172	0.008803	-0.006452	0.056119	0.024624	0.022893	0.100899	0.061816	0.900000
0		0.026405	0.023368	0.027880	0.020315	0.024127	0.010943	0.002285	0.006618	1.000000
1		0.003809	0.029975	0.004938	0.066163	0.035314	0.037195	0.104506	0.070820	0.900000
2		-0.009477	-0.037033	-0.011575	-0.076754	-0.043913	-0.040676	-0.089253	-0.064943	1.100000
3		-0.019409	-0.009609	-0.019592	0.004567	-0.007606	0.000326	0.001838	0.001081	1.000000
0		0.003287	0.013534	0.003452	0.001145	0.002299	0.012769	0.000413	0.006592	1.000000
1		-0.014763	-0.008481	-0.014693	-0.006851	-0.010771	-0.004931	0.000204	-0.002364	1.000000
2		0.024198	0.013415	0.023169	0.005940	0.014554	0.019991	0.000325	0.010160	1.000000
3		-0.012723	-0.018467	-0.011928	-0.000235	-0.006081	-0.027829	-0.000942	-0.014387	1.000000
0		0.044044	0.035032	0.044227	0.026986	0.035604	0.030442	0.027978	0.029212	0.975610
1		0.020849	-0.017245	0.017111	0.024283	0.020698	-0.005462	0.024439	0.009470	0.975610
2		-0.045958	-0.029890	-0.044403	0.003806	-0.020290	-0.032887	0.020013	-0.006470	0.975610
3		-0.017213	0.011003	-0.015395	-0.050068	-0.032737	0.007188	-0.065846	-0.029283	1.073171
0		-0.019969	0.013084	-0.018944	-0.000156	-0.009564	0.009337	0.023588	0.016456	0.977778
1		0.020587	0.022771	0.019677	0.024158	0.021914	0.030518	0.025043	0.027783	0.977778
2		0.030174	-0.025642	0.028232	0.025916	0.027076	-0.036136	0.017661	-0.009262	0.977778
3		-0.028226	-0.009362	-0.026552	-0.045758	-0.036140	-0.003409	-0.060768	-0.032062	1.066667
0		-0.000766	0.041117	0.000291	0.000501	0.000396	0.034488	-0.022038	0.006268	1.025641
1		-0.039815	-0.034610	-0.037153	-0.020821	-0.029021	-0.043125	-0.023506	-0.033331	1.025641
2		0.070743	0.015725	0.065476	-0.016794	0.024513	0.015141	-0.021058	-0.002931	1.025641
3		-0.033514	-0.024702	-0.031794	0.041238	0.004569	-0.007226	0.074002	0.033327	0.923077
0		0.047347	0.022772	0.045922	-0.020839	0.012613	0.010643	-0.023414	-0.006371	1.025641
1		-0.031183	-0.036275	-0.031104	-0.022280	-0.026702	-0.016737	-0.023225	-0.019978	1.025641
2		0.034876	0.009438	0.034408	0.086301	0.060299	0.008929	0.077542	0.043208	0.923077
3		-0.047552	0.005010	-0.045785	-0.034551	-0.040180	-0.001942	-0.023150	-0.012537	1.025641
0		0.020167	0.006179	0.020397	-0.057220	-0.018185	-0.010541	-0.063047	-0.036722	1.073171
1		-0.010669	0.018433	-0.010797	0.018570	0.003801	0.027140	0.030767	0.028949	0.975610
2		0.008089	-0.008779	0.006912	-0.043005	-0.017901	-0.010854	-0.062951	-0.036831	1.073171
3		-0.022681	-0.017303	-0.021380	0.101863	0.039881	-0.004006	0.119813	0.057733	0.878049
0		-0.011541	-0.013868	-0.011463	-0.034602	-0.023100	-0.018909	-0.022320	-0.020613	1.025641
1		0.004907	0.001200	0.004584	0.070802	0.037886	0.006996	0.075943	0.041429	0.923077
2		-0.020268	-0.028413	-0.019997	-0.036137	-0.028114	-0.033647	-0.023344	-0.028501	1.025641
3		0.027393	0.041201	0.027334	0.007018	0.017117	0.046259	-0.022684	0.011828	1.025641
0		-0.054904	-0.052828	-0.055327	-0.032073	-0.043824	-0.044753	-0.032128	-0.038497	1.052632
1		0.013680	-0.002568	0.011891	0.191414	0.100695	0.044611	0.276757	0.159642	0.736842
2		0.069320	0.040178	0.070010	-0.029508	0.020782	0.022865	-0.028802	-0.002737	1.052632
3		-0.021812	0.013134	-0.020915	-0.065826	-0.043131	-0.008490	-0.120727	-0.064105	1.157895
0		-0.010192	-0.000245	-0.010381	0.081696	0.035307	0.026104	0.123214	0.074422	0.878049
1		0.032617	0.024747	0.030341	-0.107107	-0.037859	0.007900	-0.137461	-0.064426	1.170732
2		0.001931	-0.024262	0.003566	0.040730	0.022007	-0.033989	0.023030	-0.005619	0.975610
3		-0.031898	-0.005214	-0.030633	0.014272	-0.008352	0.001016	0.031030	0.015950	0.975610
0		-0.001170	-0.014745	-0.001436	-0.020294	-0.010842	-0.020571	-0.023995	-0.022282	1.025641
1		-0.023079	-0.022624	-0.023372	-0.019633	-0.021507	-0.017765	-0.023938	-0.020850	1.025641
2		0.017505	0.025845	0.017849	0.061228	0.039486	0.031296	0.080072	0.055673	0.923077
3		0.008494	0.014109	0.008743	-0.015178	-0.003189	0.010169	-0.024132	-0.006974	1.025641
0		0.025468	-0.038405	0.023070	0.196426	0.110549	-0.022844	0.161104	0.068450	0.820513
1		-0.010886	-0.034978	-0.011128	-0.040170	-0.025783	-0.039124	-0.012610	-0.025965	1.025641
2		-0.008858	0.024763	-0.007779	-0.033301	-0.020658	0.031519	-0.005798	0.012998	1.025641
3		-0.000573	0.037217	0.000411	-0.076063	-0.038180	0.023528	-0.100431	-0.037994	1.128205
0		0.032130	0.029057	0.031549	0.013185	0.022398	0.027334	0.002281	0.014818	1.000000
1		-0.080382	-0.040622	-0.078220	-0.034309	-0.056338	-0.036859	-0.001554	-0.019221	1.000000
2		0.059110	0.063919	0.061523	0.014412	0.038047	0.052505	0.001608	0.027077	1.000000
3		-0.010858	-0.052354	-0.014853	0.006712	-0.004106	-0.042980	-0.002335	-0.022674	1.000000
0		-0.006570	0.014193	-0.005135	0.021775	0.008312	0.031815	0.025253	0.028534	0.975610
1		0.011790	0.025791	0.011955	0.025820	0.018883	0.012456	0.024842	0.018649	0.975610
2		0.022585	0.018331	0.022410	0.026157	0.024282	0.010441	0.024718	0.017579	0.975610
3		-0.025277	-0.053014	-0.026572	-0.067047	-0.046798	-0.049738	-0.068012	-0.058874	1.073171
0		-0.003215	0.040731	-0.002834	-0.031808	-0.017317	0.023711	-0.101625	-0.038536	1.128205
1		0.026436	0.024140	0.027894	-0.014987	0.006459	0.026017	-0.007556	0.009343	1.025641
2		-0.005151	-0.046756	-0.006837	-0.024449	-0.015640	-0.049435	-0.015736	-0.032699	1.025641
3		-0.022187	-0.027735	-0.022424	0.093032	0.035288	-0.003329	0.168850	0.082181	0.820513
0		0.010462	-0.005513	0.008075	-0.115484	-0.051554	-0.014610	-0.098265	-0.054860	1.212121
1		-0.005526	0.021189	-0.002830	-0.178747	-0.087726	-0.020774	-0.191223	-0.102785	1.333333
2		0.012970	-0.011949	0.008563	0.100136	0.052755	0.028593	0.111423	0.068447	0.969697
3		-0.036897	-0.020589	-0.029531	0.579992	0.264620	0.036467	0.548679	0.282916	0.484848
0		0.039114	-0.019186	0.035355	0.086782	0.061028	-0.011096	0.072674	0.030692	0.923077
1		-0.015228	0.031778	-0.014019	0.018797	0.002363	0.033713	0.081966	0.057784	0.923077
2		-0.030062	-0.019357	-0.028507	-0.079584	-0.054005	-0.029552	-0.109536	-0.069451	1.128205
3		0.011571	0.009960	0.012155	-0.007479	0.002354	0.012153	-0.018687	-0.003232	1.025641
0		0.005189	0.029662	0.006772	-0.114052	-0.053774	-0.001884	-0.138977	-0.070157	1.170732
1		-0.042470	-0.039522	-0.042107	0.010689	-0.015650	-0.035059	0.021658	-0.006814	0.975610
2		0.065209	0.054487	0.064920	0.117454	0.091245	0.076699	0.136338	0.106399	0.878049
3		-0.022446	-0.045111	-0.024447	0.020465	-0.001941	-0.031709	0.022411	-0.004757	0.975610
0		0.011477	-0.001471	0.010707	-0.048667	-0.018927	0.000191	-0.066208	-0.032870	1.081081
1		-0.020824	0.031599	-0.019141	-0.044276	-0.031686	0.014234	-0.067256	-0.026341	1.081081
2		0.028998	-0.014676	0.027513	0.031425	0.029466	-0.016506	0.030625	0.006961	0.972973
3		-0.020939	-0.021150	-0.020410	0.080826	0.030118	0.000539	0.132377	0.066183	0.864865
0		0.045279	0.004141	0.044452	0.068033	0.056173	0.003871	0.056179	0.029912	0.947368
1		-0.036533	-0.000533	-0.035914	-0.060336	-0.048053	-0.013192	-0.128882	-0.070787	1.157895
2		-0.016860	0.007797	-0.017054	0.052051	0.017296	0.038645	0.162695	0.100403	0.842105
3		0.012922	-0.009379	0.013141	-0.036502	-0.011534	-0.019889	-0.038947	-0.029377	1.052632
0		0.030441	-0.000378	0.026634	0.006822	0.016747	0.025685	0.000294	0.012992	1.000000
1		0.000420	-0.005412	0.002570	0.003909	0.003238	-0.021340	-0.000750	-0.011047	1.000000
2		0.011612	0.001105	0.010900	0.004772	0.007842	-0.003110	0.000196	-0.001457	1.000000
3		-0.042473	0.004685	-0.040104	-0.015503	-0.027827	-0.001234	0.000260	-0.000488	1.000000
0		-0.028176	-0.029307	-0.027667	-0.099009	-0.063051	-0.048949	-0.111641	-0.080260	1.128205
1		-0.006741	-0.014330	-0.007174	-0.009164	-0.008161	-0.008527	-0.021943	-0.015227	1.025641
2		-0.000040	0.019021	0.000151	0.038367	0.019105	0.029200	0.079565	0.054354	0.923077
3		0.041967	0.032721	0.041636	0.092826	0.067025	0.040101	0.081266	0.060661	0.923077
0		0.011647	0.019149	0.013118	0.027646	0.020295	0.012923	0.011358	0.012144	1.000000
1		-0.003008	-0.006744	-0.003601	0.085528	0.040433	0.018531	0.093884	0.056025	0.909091
2		-0.049699	-0.032851	-0.048480	0.057541	0.003899	-0.017069	0.082898	0.032672	0.909091
3		0.030689	0.014254	0.028962	-0.133445	-0.051274	-0.012059	-0.145597	-0.078504	1.181818
0		0.007837	0.007281	0.008397	-0.064356	-0.026761	0.008713	-0.001419	0.003939	1.142857
1		0.014231	-0.009527	0.011459	-0.060338	-0.023237	0.006689	0.000040	0.003556	1.142857
2		-0.020512	0.009584	-0.019845	-0.218833	-0.116007	-0.023310	-0.181694	-0.097940	1.371429
3		0.008489	-0.030849	0.013194	1.290978	0.630688	0.041902	0.731370	0.366778	0.342857
0		-0.026263	0.006673	-0.025050	-0.004702	-0.014925	0.003122	0.000743	0.001933	1.000000
1		-0.031019	-0.041292	-0.030497	-0.000060	-0.015352	-0.041013	-0.002257	-0.021641	1.000000
2		-0.021950	-0.008502	-0.022717	-0.004989	-0.013896	0.011132	0.000859	0.005997	1.000000
3		0.079232	0.043121	0.078264	0.009750	0.044173	0.026759	0.000655	0.013711	1.000000
0		0.042873	0.015811	0.040694	-0.063096	-0.010046	-0.001757	-0.104312	-0.052766	1.128205
1		0.064894	0.034701	0.064310	0.019379	0.042344	0.034746	-0.010968	0.012009	1.025641
2		-0.067661	-0.049557	-0.065641	0.000093	-0.033505	-0.046518	-0.017593	-0.032131	1.025641
3		-0.055492	-0.003171	-0.054292	0.062418	0.002765	0.017131	0.179131	0.097707	0.820513
0		-0.047652	0.016605	-0.045106	-0.041906	-0.043519	0.001301	-0.039779	-0.018917	1.081081
1		0.042238	0.010898	0.042665	0.434532	0.236977	0.049616	0.376638	0.210563	0.648649
2		0.012333	0.004755	0.013419	-0.145051	-0.065160	-0.010981	-0.132297	-0.070688	1.189189
3		0.008743	-0.028374	0.004746	-0.059257	-0.026991	-0.018991	-0.040677	-0.029664	1.081081
0		-0.025951	-0.052940	-0.026264	-0.051245	-0.038642	-0.049679	-0.053385	-0.051520	1.073171
1		0.019424	0.001994	0.015734	-0.125771	-0.054381	-0.016693	-0.134180	-0.075039	1.170732
2		0.002956	-0.001910	0.005356	0.218280	0.110859	0.030964	0.222402	0.126035	0.780488
3		0.002872	0.057369	0.005725	0.032671	0.019077	0.049908	0.041817	0.045890	0.975610
0		0.047186	0.024666	0.046616	0.047456	0.047037	0.018513	0.049770	0.034127	0.952381
1		0.018828	-0.025845	0.015486	0.047571	0.031547	-0.012753	0.046067	0.016628	0.952381
2		-0.047892	-0.008807	-0.047135	-0.048751	-0.047944	-0.002629	-0.043509	-0.023050	1.047619
3		-0.012121	0.009879	-0.009321	-0.037637	-0.023496	-0.002607	-0.043615	-0.023092	1.047619
0		0.030033	0.023937	0.029644	-0.035328	-0.002593	0.009170	-0.045982	-0.018348	1.052632
1		-0.003981	-0.010551	-0.004872	-0.028715	-0.016702	-0.008971	-0.045368	-0.027131	1.052632
2		0.012194	0.023792	0.010983	0.122723	0.066425	0.056662	0.171372	0.113896	0.842105
3		-0.035807	-0.032419	-0.033559	-0.034135	-0.033845	-0.045528	-0.045749	-0.045638	1.052632
0		-0.007569	0.008870	-0.006808	-0.020897	-0.013865	0.008256	-0.022929	-0.007322	1.025641
1		-0.014830	0.006640	-0.015373	-0.023006	-0.019197	0.016335	-0.023142	-0.003385	1.025641
2		0.041800	0.006370	0.040419	0.079441	0.059965	0.008705	0.077297	0.042968	0.923077
3		-0.015221	-0.021243	-0.014196	-0.027594	-0.020907	-0.032426	-0.023495	-0.027965	1.025641
0		-0.007147	-0.019418	-0.007561	0.053798	0.023057	-0.009587	0.050019	0.020177	0.947368
1		0.039544	0.024470	0.038012	-0.046181	-0.004000	0.019707	-0.047523	-0.013864	1.052632
2		-0.001467	0.017774	0.000314	0.045558	0.022891	0.018657	0.054549	0.036580	0.947368
3		-0.031791	-0.022991	-0.031490	-0.043239	-0.037353	-0.027870	-0.046588	-0.037217	1.052632
0		-0.034965	-0.001881	-0.033058	-0.010665	-0.021906	-0.012941	-0.000178	-0.006561	1.000000
1		-0.008054	0.011278	-0.005178	0.006604	0.000689	0.000652	0.000444	0.000548	1.000000
2		-0.027652	-0.035562	-0.029534	-0.003929	-0.016782	-0.021718	-0.000690	-0.011206	1.000000
3		0.070671	0.026165	0.067771	0.007990	0.038000	0.034008	0.000423	0.017219	1.000000
0		0.022471	0.046321	0.025936	0.098266	0.062000	0.044734	0.105499	0.075090	0.900000
1		-0.013202	-0.026891	-0.014943	-0.085824	-0.050284	-0.034871	-0.089342	-0.062083	1.100000
2		-0.017930	-0.012193	-0.018854	0.000333	-0.009287	0.003243	0.001902	0.002573	1.000000
3		0.012228	0.000084	0.011949	0.005633	0.008800	-0.005146	0.001424	-0.001863	1.000000
0		0.014185	-0.030507	0.013066	0.035696	0.024322	-0.031069	0.020682	-0.005219	0.975610
1		-0.021903	0.013290	-0.020012	0.018326	-0.000942	-0.004457	0.024444	0.009979	0.975610
2		-0.018851	0.009055	-0.018995	-0.000290	-0.009691	0.042647	0.027836	0.035249	0.975610
3		0.024153	0.007419	0.023583	-0.048847	-0.012444	-0.006473	-0.066330	-0.036372	1.073171
0		-0.042238	-0.044909	-0.042596	0.035317	-0.003592	-0.032700	0.047092	0.007089	0.947368
1		0.000748	-0.011637	0.002621	0.052995	0.027839	-0.014832	0.050902	0.017947	0.947368
2		0.003217	0.013489	0.003688	-0.044308	-0.020339	0.004718	-0.043289	-0.019222	1.052632
3		0.034123	0.037403	0.032289	-0.035173	-0.001483	0.038061	-0.044905	-0.003311	1.052632
0		0.008374	0.009739	0.011221	0.076855	0.044238	0.006486	0.089615	0.047865	0.909091
1		0.014995	0.016024	0.015813	0.061327	0.038709	0.034337	0.096851	0.065454	0.909091
2		-0.012274	0.013431	-0.012349	-0.096017	-0.054438	-0.004512	-0.146251	-0.075065	1.181818
3		-0.006739	-0.039294	-0.009982	-0.012146	-0.011070	-0.031780	0.003328	-0.014304	1.000000
0		0.037216	-0.005894	0.034443	0.004994	0.019755	-0.008449	0.000360	-0.004046	1.000000
1		-0.007626	-0.016767	-0.004156	0.004674	0.000248	-0.026428	-0.001057	-0.013748	1.000000
2		-0.018537	0.048110	-0.018539	-0.011117	-0.014837	0.050438	0.000835	0.025647	1.000000
3		-0.011053	-0.025449	-0.011748	0.001449	-0.005166	-0.015561	-0.000138	-0.007853	1.000000
0		0.068971	0.048324	0.069871	-0.003684	0.033448	0.026433	-0.020415	0.003037	1.023256
1		-0.046467	-0.044055	-0.046939	0.022334	-0.012637	-0.016212	0.066170	0.024930	0.930233
2		-0.041721	-0.007311	-0.042085	-0.014801	-0.028574	-0.003631	-0.019816	-0.011714	1.023256
3		0.014992	-0.000963	0.014886	-0.001819	0.006614	-0.008064	-0.019923	-0.013987	1.023256
0		-0.006544	0.005798	-0.005060	-0.010082	-0.007557	-0.016397	-0.024084	-0.020239	1.025641
1		-0.008697	0.014417	-0.008520	0.036286	0.013759	0.029731	0.080443	0.055076	0.923077
2		0.025657	-0.020600	0.022306	-0.014101	0.004204	-0.007535	-0.024118	-0.015823	1.025641
3		-0.011285	0.001826	-0.009578	-0.008474	-0.009029	-0.002825	-0.024196	-0.013506	1.025641
0		0.041768	0.063295	0.042741	0.039899	0.041325	0.057083	0.032374	0.044759	0.975610
1		-0.075555	-0.074637	-0.075538	-0.003789	-0.039797	-0.061253	0.015078	-0.023183	0.975610
2		0.048473	0.036431	0.047576	-0.061196	-0.006607	0.030027	-0.063510	-0.016624	1.073171
3		-0.019533	-0.028732	-0.019535	0.031204	0.005740	-0.028860	0.022409	-0.003290	0.975610
0		-0.007606	-0.050149	-0.011417	0.000331	-0.005544	-0.038578	-0.001824	-0.020206	1.000000
1		0.021410	0.021524	0.022769	0.005210	0.013991	0.023238	0.000546	0.011895	1.000000
2		0.005446	0.021307	0.006377	0.002093	0.004236	0.012216	0.000660	0.006440	1.000000
3		-0.019250	0.007317	-0.017729	-0.007635	-0.012683	0.003124	0.000618	0.001871	1.000000
0		0.024956	0.059306	0.025357	0.023231	0.024293	0.068609	0.024037	0.046338	0.977778
1		0.005275	-0.021139	0.003065	0.016620	0.009847	-0.008875	0.021774	0.006440	0.977778
2		-0.045664	-0.025146	-0.044517	-0.056103	-0.050314	-0.036324	-0.060900	-0.048604	1.066667
3		0.019584	-0.010735	0.020142	0.021353	0.020748	-0.020109	0.020625	0.000245	0.977778
0		0.003012	-0.020713	-0.000270	0.008258	0.003976	-0.002180	0.000106	-0.001037	1.000000
1		-0.047978	-0.006685	-0.047878	-0.025319	-0.036645	0.001871	0.000181	0.001026	1.000000
2		0.042492	0.036213	0.044575	0.008331	0.026528	0.016821	0.000148	0.008485	1.000000
3		0.002474	-0.008816	0.003573	0.008730	0.006141	-0.016512	-0.000435	-0.008474	1.000000
0		-0.053851	-0.086179	-0.054495	0.123432	0.034015	-0.057406	0.155826	0.048357	0.820513
1		0.017037	-0.003557	0.017135	-0.104553	-0.043399	-0.032857	-0.099346	-0.065836	1.128205
2		0.002809	0.016258	0.003542	-0.004781	-0.000599	0.031774	-0.007556	0.012267	1.025641
3		0.021531	0.056598	0.021206	0.021044	0.021125	0.050293	-0.007825	0.021466	1.025641
0		0.014592	0.025910	0.013692	0.008569	0.011135	0.023213	0.000533	0.011876	1.000000
1		0.027859	0.006958	0.027742	0.003455	0.015619	0.012707	0.000646	0.006678	1.000000
2		-0.000523	0.016291	0.000744	0.003524	0.002132	0.000630	0.000547	0.000589	1.000000
3		-0.041928	-0.049159	-0.042177	-0.015548	-0.028886	-0.036550	-0.001726	-0.019143	1.000000
0		0.066518	0.054555	0.065070	-0.050437	0.007706	0.042901	-0.069219	-0.012984	1.081081
1		0.060058	0.049896	0.061362	0.041746	0.051620	0.041128	0.035531	0.038338	0.972973
2		-0.063046	-0.086887	-0.063552	0.037015	-0.013608	-0.074544	0.013437	-0.030691	0.972973
3		-0.070921	-0.023626	-0.070110	-0.022720	-0.046575	-0.014252	0.027942	0.006780	0.972973
0		-0.000184	-0.003296	0.000855	0.004178	0.002513	-0.011956	-0.000218	-0.006087	1.000000
1		-0.041935	-0.016464	-0.041063	-0.016977	-0.029044	-0.006195	0.000017	-0.003089	1.000000
2		0.030693	-0.000572	0.028813	0.003980	0.016421	-0.006165	0.000019	-0.003073	1.000000
3		0.011426	0.020332	0.011394	0.008819	0.010109	0.024316	0.000181	0.012249	1.000000
0		0.012860	-0.002848	0.010167	-0.025678	-0.007799	0.011672	0.032846	0.021976	1.028571
1		0.011114	-0.031197	0.012593	0.571165	0.292565	0.016124	0.426558	0.215859	0.571429
2		-0.004745	0.019655	-0.005331	-0.121078	-0.063347	0.007916	-0.160881	-0.074228	1.257143
3		-0.011911	-0.003458	-0.009583	-0.129287	-0.069582	-0.027274	-0.065872	-0.046057	1.142857
0		0.008674	-0.020391	0.007104	0.095479	0.050917	0.005703	0.093721	0.049338	0.914286
1		-0.026181	0.011721	-0.024372	0.128253	0.051294	0.020528	0.201727	0.110358	0.800000
2		0.016547	0.037486	0.017796	-0.056104	-0.018841	0.016755	-0.110012	-0.046090	1.142857
3		-0.005159	-0.029378	-0.006419	-0.110056	-0.057799	-0.035688	-0.106173	-0.070631	1.142857
0		0.012655	-0.003454	0.013166	0.294824	0.153617	0.019857	0.265876	0.141615	0.736842
1		-0.005261	0.001295	-0.005537	-0.131716	-0.068457	-0.011577	-0.118604	-0.064546	1.157895
2		-0.011470	-0.026028	-0.011297	-0.044058	-0.027634	-0.035496	-0.028772	-0.032169	1.052632
3		0.008398	0.027022	0.008171	-0.017431	-0.004596	0.034331	-0.026876	0.004039	1.052632
0		0.025685	0.008583	0.024380	0.016551	0.020481	0.013051	0.000088	0.006570	1.000000
1		0.045878	0.002415	0.044514	0.007990	0.026325	-0.009381	-0.000094	-0.004738	1.000000
2		-0.049403	0.003593	-0.049035	-0.026805	-0.037964	0.006278	0.000106	0.003192	1.000000
3		-0.022160	-0.014591	-0.019859	0.002264	-0.008841	-0.009948	-0.000100	-0.005024	1.000000
0		-0.000029	-0.020329	-0.001181	0.058310	0.028596	-0.001336	0.088152	0.043168	0.909091
1		-0.025603	-0.016225	-0.025384	0.038870	0.006777	-0.004098	0.087268	0.041340	0.909091
2		0.052126	0.014785	0.051945	-0.002136	0.024875	0.005906	0.011584	0.008730	1.000000
3		-0.024390	0.015608	-0.023519	-0.072946	-0.048259	-0.000816	-0.144740	-0.072393	1.181818
0		-0.017286	-0.035615	-0.016979	-0.115972	-0.065898	-0.050852	-0.130845	-0.090721	1.157895
1		0.015205	0.047150	0.015054	0.047512	0.031094	0.055532	0.062298	0.058904	0.947368
2		0.017594	0.003441	0.016739	0.124836	0.070157	0.034122	0.162169	0.097942	0.842105
3		-0.008746	-0.006010	-0.008262	-0.015061	-0.011622	-0.021339	-0.041873	-0.031573	1.052632
0		-0.023622	0.010219	-0.021325	0.046854	0.012128	0.016051	0.051668	0.033633	0.972973
1		0.020536	0.011739	0.019525	-0.199848	-0.088114	-0.023027	-0.209264	-0.114959	1.297297
2		0.027130	-0.001599	0.025602	0.066810	0.045822	0.009807	0.050594	0.029941	0.972973
3		-0.039716	-0.031206	-0.038972	0.196457	0.076546	0.006229	0.227260	0.115336	0.756757
0		-0.048392	0.001470	-0.046505	-0.032330	-0.039427	-0.008950	-0.024248	-0.016597	1.025641
1		-0.001738	-0.003435	-0.002012	-0.014379	-0.008187	0.002826	-0.024408	-0.010787	1.025641
2		0.047460	0.034785	0.047729	0.076930	0.062311	0.045627	0.081623	0.063620	0.923077
3		0.007417	-0.029341	0.005561	-0.022528	-0.008466	-0.034940	-0.024805	-0.029874	1.025641
0		0.055803	0.011446	0.054411	0.034600	0.044552	0.000717	0.024514	0.012606	0.975610
1		-0.039560	0.000876	-0.039360	-0.011046	-0.025269	0.009121	0.025314	0.017211	0.975610
2		-0.014128	-0.009793	-0.013213	0.016298	0.001474	-0.006283	0.023582	0.008638	0.975610
3		-0.001923	-0.002299	-0.001671	-0.036228	-0.018869	-0.003232	-0.066736	-0.034959	1.073171
0		-0.015426	-0.018693	-0.015212	-0.069671	-0.042193	-0.029425	-0.086977	-0.058018	1.111111
1		0.049251	0.018052	0.046357	0.018396	0.032504	0.031377	0.014888	0.023185	1.000000
2		-0.012836	0.003228	-0.011981	-0.063999	-0.037753	-0.018239	-0.088452	-0.053122	1.111111
3		-0.022949	-0.001117	-0.020756	0.167305	0.072418	0.027750	0.231471	0.128962	0.777778
0		-0.016981	-0.013186	-0.015638	-0.083248	-0.049131	-0.035705	-0.093906	-0.064723	1.111111
1		-0.014270	-0.020851	-0.013083	-0.070681	-0.041617	-0.025479	-0.094908	-0.060096	1.111111
2		0.059814	0.024112	0.056355	0.128711	0.092200	0.057038	0.122229	0.089542	0.888889
3		-0.020751	0.018433	-0.020454	0.063701	0.021235	0.019441	0.113788	0.066482	0.888889
0		0.048799	0.025752	0.048637	-0.016892	0.016009	0.005800	-0.024076	-0.009131	1.025641
1		-0.053952	-0.029204	-0.053951	-0.034380	-0.044206	-0.011810	-0.023847	-0.017826	1.025641
2		0.022860	0.034962	0.025619	0.073612	0.049516	0.026040	0.079818	0.052916	0.923077
3		-0.015421	-0.028013	-0.017743	-0.014979	-0.016367	-0.017425	-0.023913	-0.020668	1.025641
0		-0.022106	-0.016202	-0.022342	-0.046437	-0.034419	-0.014416	-0.030939	-0.022631	1.047619
1		-0.029729	-0.043115	-0.030135	0.044850	0.007449	-0.033902	0.044043	0.004850	0.952381
2		0.014451	0.010102	0.016153	0.150839	0.083662	0.018988	0.142231	0.080260	0.857143
3		0.034199	0.043204	0.033478	-0.107937	-0.037403	0.027225	-0.115015	-0.043492	1.142857
0		0.012444	-0.029774	0.008851	0.026641	0.017739	-0.020987	0.022246	0.000611	0.975610
1		-0.006415	-0.021516	-0.007598	-0.052686	-0.030124	-0.012816	-0.066572	-0.039671	1.073171
2		0.001954	0.049655	0.003383	0.010666	0.007022	0.047099	0.027591	0.037354	0.975610
3		-0.007341	0.003787	-0.003877	0.020648	0.008376	-0.012014	0.023392	0.005674	0.975610
0		0.001906	0.003588	0.001203	0.022872	0.012024	0.016690	0.035421	0.026015	0.972973
1		-0.026520	-0.025667	-0.025384	-0.072620	-0.048972	-0.040511	-0.064318	-0.052363	1.081081
2		0.046010	0.044695	0.044872	-0.052086	-0.003544	0.038257	-0.066912	-0.014099	1.081081
3		-0.026507	-0.027823	-0.025714	0.130151	0.052118	-0.015958	0.124189	0.053811	0.864865
0		-0.014121	-0.014073	-0.014527	-0.135525	-0.074930	-0.040664	-0.153231	-0.096752	1.189189
1		0.048976	0.010305	0.047299	0.159896	0.103509	0.030563	0.137041	0.083617	0.864865
2		-0.009380	0.012491	-0.006230	0.021119	0.007423	0.003645	0.031669	0.017608	0.972973
3		-0.016895	-0.004450	-0.018059	0.002392	-0.007849	0.018888	0.033799	0.026317	0.972973
