Trial no.	Method 1	Method 2	Method 3	Method 4	Method 5	Method 6	Method 7	Method 8	Real contrib
1		-0.045698	-0.059966	-0.045699	0.024100	-0.010532	-0.050754	0.043580	-0.003910	0.952381
2		0.069750	0.068440	0.069038	-0.041013	0.013591	0.059650	-0.029935	0.015164	1.047619
3		0.003583	-0.023626	0.003494	0.148944	0.076775	-0.008151	0.138773	0.064809	0.857143
0		0.051113	0.031171	0.050475	0.090870	0.070697	0.037217	0.089985	0.063585	0.914286
1		-0.010672	-0.005953	-0.012567	-0.024205	-0.018393	0.012604	-0.026573	-0.006973	1.028571
2		-0.003604	0.010594	-0.001969	-0.026449	-0.014224	-0.004840	-0.026158	-0.015492	1.028571
3		-0.031158	-0.032348	-0.030330	-0.030119	-0.030224	-0.040846	-0.027256	-0.034055	1.028571
0		-0.011351	-0.019213	-0.012630	0.052661	0.019605	0.002721	0.050962	0.026728	0.952381
1		-0.073017	-0.032038	-0.073055	-0.000960	-0.037460	-0.011087	0.047509	0.018072	0.952381
2		-0.024183	-0.033831	-0.021467	0.071592	0.024478	-0.033819	0.041574	0.003700	0.952381
3		0.090460	0.070901	0.089294	-0.102744	-0.005519	0.035155	-0.116704	-0.040417	1.142857
0		-0.010797	-0.000874	-0.010639	0.057383	0.023245	0.015588	0.077749	0.046645	0.923077
1		-0.010094	-0.014993	-0.009877	-0.017181	-0.013516	-0.019449	-0.023292	-0.021369	1.025641
2		0.037978	0.017201	0.035567	-0.017700	0.009033	0.020540	-0.023521	-0.001474	1.025641
3		-0.018167	-0.001421	-0.016115	-0.016764	-0.016438	-0.015120	-0.023161	-0.019138	1.025641
0		-0.038501	-0.017538	-0.037728	-0.033785	-0.035771	-0.028643	-0.040746	-0.034669	1.052632
1		-0.031390	-0.036190	-0.031538	0.126517	0.046916	-0.003591	0.155353	0.075541	0.842105
2		0.034525	0.018881	0.033461	-0.036107	-0.001071	0.015468	-0.041717	-0.013002	1.052632
3		0.029088	0.027608	0.029497	-0.031321	-0.000691	0.016047	-0.041820	-0.012762	1.052632
0		0.030941	0.017944	0.031055	0.239901	0.135271	0.045656	0.205869	0.125219	0.800000
1		0.007599	-0.001621	0.006552	0.003963	0.005260	0.006932	0.014713	0.010796	1.000000
2		0.013128	0.016748	0.013581	-0.163366	-0.074718	-0.007294	-0.155270	-0.080779	1.200000
3		-0.048107	-0.032832	-0.047692	0.000156	-0.023816	-0.034704	0.006916	-0.014035	1.000000
0		-0.014610	-0.051618	-0.016692	-0.031529	-0.024057	-0.053487	-0.042771	-0.048138	1.047619
1		-0.069248	-0.047760	-0.068277	-0.004345	-0.036543	-0.034404	0.040122	0.002792	0.952381
2		0.065465	0.055036	0.064979	-0.007874	0.028817	0.045815	-0.042001	0.001986	1.047619
3		0.013308	0.044000	0.015161	0.047689	0.031307	0.042844	0.053127	0.047976	0.952381
0		0.023002	0.004360	0.022721	0.005253	0.014010	-0.006509	0.000031	-0.003239	1.000000
1		-0.001196	0.008822	-0.000140	0.005194	0.002520	0.009023	0.000235	0.004630	1.000000
2		-0.040182	-0.015452	-0.039933	-0.018881	-0.029435	-0.017984	-0.000441	-0.009213	1.000000
3		0.018376	0.002269	0.017353	0.008435	0.012905	0.015470	0.000175	0.007823	1.000000
0		-0.024269	-0.027956	-0.022197	-0.026198	-0.024198	-0.045178	-0.024951	-0.035071	1.025641
1		0.034487	0.000335	0.030191	0.072997	0.051607	0.029726	0.080074	0.054883	0.923077
2		-0.013493	0.020608	-0.011153	-0.019804	-0.015481	0.013734	-0.023722	-0.004982	1.025641
3		0.006724	0.007046	0.006178	-0.019696	-0.006767	0.004690	-0.023393	-0.009342	1.025641
0		0.035571	0.076954	0.037108	0.072646	0.054764	0.085971	0.110284	0.098126	0.900000
1		0.016118	0.018932	0.018018	0.016929	0.017477	0.004848	0.000312	0.002580	1.000000
2		-0.022183	-0.007490	-0.020840	0.004919	-0.008042	-0.003290	0.000178	-0.001556	1.000000
3		-0.023589	-0.073364	-0.027796	-0.079299	-0.053384	-0.071756	-0.090678	-0.081216	1.100000
0		0.039307	0.040225	0.039230	0.027493	0.033408	0.038314	0.015130	0.026791	1.000000
