Trial no.	Method 1	Method 2	Method 3	Method 4	Method 5	Method 6	Method 7	Method 8	Self inflation
282		0.001057	0.002631	0.001105	0.004744	0.002906	0.003204	0.008707	0.005950	0.140197
283		0.000004	0.000795	0.000109	0.004514	0.002300	0.001165	0.004742	0.002951	0.213132
284		0.000141	0.002894	0.000351	0.023355	0.011632	0.008529	0.041014	0.024556	0.193376
285		0.000280	0.001522	0.000441	0.010255	0.005310	0.002908	0.011053	0.006968	0.226835
286		-0.000565	-0.001747	-0.000588	0.005056	0.002222	0.000554	0.010789	0.005642	0.138810
287		-0.002994	-0.001817	-0.002942	0.009409	0.003183	-0.000269	0.009690	0.004685	0.130749
288		-0.002906	-0.001985	-0.002879	0.003070	0.000061	-0.000729	0.007513	0.003373	0.192264
289		0.000056	-0.001509	-0.000085	0.003203	0.001554	-0.000682	0.005266	0.002282	0.176904
290		0.000854	0.000312	0.000822	0.002060	0.001441	0.000485	0.001946	0.001214	0.219038
291		-0.002364	-0.000733	-0.002198	0.010334	0.003990	0.001542	0.014295	0.007880	0.240262
292		0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	0.183995
293		0.000000	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.242902
294		-0.001618	-0.000632	-0.001569	0.008087	0.003199	0.001063	0.011589	0.006299	0.137018
295		-0.000035	-0.000377	-0.000032	0.002041	0.001005	-0.000099	0.001870	0.000885	0.216953
296		-0.000730	0.002273	-0.000490	0.009650	0.004515	0.003343	0.013156	0.008228	0.250116
297		-0.000884	-0.000509	-0.000899	0.001439	0.000263	-0.000178	0.001608	0.000713	0.109390
298		0.000553	0.000137	0.000546	0.001334	0.000941	0.000402	0.001662	0.001031	0.183560
299		0.000842	0.001465	0.000861	0.005659	0.003264	0.002449	0.010258	0.006340	0.051438
300		0.000423	-0.000507	0.000390	0.001240	0.000817	-0.000212	0.001617	0.000701	0.258455
301		0.000428	0.000794	0.000457	0.004302	0.002375	0.001134	0.004610	0.002869	0.163357
302		-0.002570	-0.002831	-0.002649	0.005546	0.001419	-0.001241	0.005448	0.002088	0.203514
303		-0.001601	-0.000636	-0.001502	0.006192	0.002307	0.000517	0.011348	0.005902	0.204497
304		0.000000	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.224419
305		0.002834	0.001068	0.002749	0.009350	0.006063	0.002336	0.010003	0.006157	0.203886
306		-0.000017	-0.000131	-0.000029	0.001416	0.000693	0.000137	0.001923	0.001029	0.163499
307		0.001176	0.000420	0.001067	0.001893	0.001479	0.001253	0.002052	0.001653	0.213510
308		-0.003999	-0.002546	-0.003895	0.005227	0.000613	-0.001094	0.005891	0.002384	0.156172
309		0.002373	0.001682	0.002312	0.004913	0.003614	0.002358	0.005609	0.003982	0.113111
310		0.001498	0.004452	0.001553	0.065163	0.031967	0.015648	0.098561	0.055693	0.203523
311		-0.000926	-0.001407	-0.000939	0.003900	0.001473	-0.000421	0.004350	0.001957	0.292478
312		-0.000011	-0.001485	-0.000115	0.001939	0.000915	-0.000982	0.001730	0.000371	0.209430
313		0.000413	-0.000180	0.000272	0.006987	0.003617	0.001499	0.008255	0.004867	0.320764
314		-0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	-0.000000	0.172462
315		0.000569	0.001038	0.000637	0.001667	0.001151	0.001032	0.001698	0.001365	0.351366
316		-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.223002
317		-0.000263	-0.000367	-0.000249	0.001506	0.000625	-0.000107	0.001886	0.000888	0.204144
318		0.000224	-0.000330	0.000344	0.017410	0.008901	0.001116	0.017217	0.009104	0.195808
319		-0.002199	0.000429	-0.002138	0.004258	0.001015	0.001150	0.006583	0.003860	0.150945
320		-0.002075	-0.000926	-0.001966	0.003309	0.000648	-0.000110	0.004404	0.002141	0.183264
321		0.002572	-0.001313	0.003579	0.199712	0.097423	0.015773	0.187415	0.095176	0.204279
322		0.006203	0.004226	0.006273	0.010623	0.008446	0.004169	0.010417	0.007287	0.211157
323		-0.000652	-0.000784	-0.000628	0.001394	0.000389	-0.000449	0.001479	0.000514	0.076999
324		0.000151	-0.001086	0.000124	0.003947	0.002036	-0.000463	0.005261	0.002390	0.275794
325		0.001153	0.002151	0.001302	0.018969	0.010056	0.005049	0.026122	0.015495	0.225884
326		0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.123018
327		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.159653
328		0.000093	-0.000495	0.000047	0.006520	0.003245	0.001899	0.011875	0.006864	0.111151
329		0.000012	0.000463	-0.000023	0.003344	0.001651	0.001158	0.004784	0.002968	0.205136
330		0.005409	0.004719	0.005766	0.041762	0.023690	0.008607	0.043201	0.025663	0.164158
331		-0.002931	-0.003217	-0.002887	0.014053	0.005530	-0.001283	0.014990	0.006779	0.124997
332		-0.003834	-0.003145	-0.003813	0.007815	0.001947	0.000118	0.018267	0.009108	0.118466
333		-0.003159	-0.001518	-0.002909	0.020007	0.008373	0.002809	0.020963	0.011814	0.264513
334		0.001816	0.001216	0.001757	0.002097	0.001927	0.001411	0.002065	0.001738	0.224570
335		0.000084	0.002767	0.000354	0.009353	0.004820	0.002946	0.011616	0.007267	0.272521
336		-0.000592	0.000492	-0.000448	0.005763	0.002640	0.000875	0.005946	0.003402	0.255084
337		0.001142	-0.000037	0.001109	0.002068	0.001589	0.000293	0.002186	0.001238	0.145010
338		0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	-0.000000	0.212817
339		-0.002399	-0.000418	-0.002269	0.008665	0.003113	0.001602	0.010804	0.006184	0.081542
340		-0.001097	-0.002374	-0.001055	0.011344	0.005133	-0.000627	0.013905	0.006582	0.161411
341		-0.000126	-0.000110	-0.000107	0.000883	0.000387	-0.000064	0.001662	0.000798	0.186858
342		-0.001428	-0.000790	-0.001324	0.016937	0.007682	0.002512	0.017793	0.010102	0.210838
343		0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.224132
344		0.001342	0.001295	0.001340	0.004197	0.002770	0.001650	0.004788	0.003217	0.141576
345		-0.001310	-0.000602	-0.001234	0.001654	0.000205	-0.000318	0.002531	0.001103	0.245583
346		-0.004344	-0.004738	-0.004075	0.030919	0.013461	-0.002797	0.023428	0.010123	0.215904
347		-0.001570	-0.001533	-0.001546	0.004439	0.001435	-0.000598	0.005913	0.002645	0.242505
348		-0.005077	0.001518	-0.004497	0.030121	0.012246	0.008782	0.038925	0.023665	0.182757
349		-0.000336	0.001215	-0.000334	0.009327	0.004447	0.003130	0.011602	0.007351	0.259775
350		-0.001445	-0.001124	-0.001487	0.004748	0.001609	0.000280	0.006479	0.003370	0.295442
351		0.001969	0.002180	0.001935	0.005926	0.003903	0.004410	0.015218	0.009793	0.149055
352		-0.001034	-0.001010	-0.000985	0.006401	0.002692	0.000313	0.006509	0.003402	0.316492
353		0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.199485
354		0.000264	0.000156	0.000349	0.004207	0.002281	0.000024	0.005983	0.002994	0.225742
355		0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.168266
356		-0.000194	0.000270	-0.000157	0.001453	0.000646	0.000683	0.002202	0.001442	0.154165
357		0.003673	0.001827	0.003632	0.012966	0.008303	0.003776	0.013185	0.008463	0.221045
358		-0.003841	-0.007837	-0.003873	0.018030	0.007288	-0.004696	0.021920	0.008408	0.162945
359		-0.001022	-0.000571	-0.000975	0.001082	0.000048	-0.000309	0.001650	0.000669	0.272199
360		0.001594	0.000970	0.001549	0.005067	0.003303	0.001564	0.004846	0.003203	0.177313
361		0.000761	0.000575	0.000815	0.001719	0.001267	0.000505	0.001635	0.001070	0.202581
362		0.000144	-0.000431	0.000146	0.001912	0.001029	-0.000457	0.001793	0.000666	0.281738
363		-0.000036	0.000948	0.000078	0.020149	0.010037	0.003089	0.020258	0.011610	0.232115
364		0.002500	0.002017	0.002488	0.003861	0.003173	0.002665	0.004959	0.003811	0.137642
365		-0.002656	-0.002700	-0.002374	0.009929	0.003807	-0.002467	0.012208	0.004809	0.311716
366		0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.104381
367		0.003297	0.002915	0.003343	0.004650	0.003996	0.002675	0.004936	0.003805	0.186197
368		0.000022	-0.000212	-0.000014	0.001621	0.000802	0.000334	0.001679	0.001006	0.140874
369		-0.001790	0.002764	-0.001212	0.018746	0.008600	0.005017	0.020414	0.012666	0.231394
370		-0.000142	0.000055	-0.000120	0.001464	0.000670	0.000301	0.001948	0.001124	0.203955
371		0.004446	0.004302	0.004440	0.022346	0.013294	0.007144	0.025261	0.016142	0.175073
372		0.001112	0.002441	0.001272	0.005219	0.003240	0.003005	0.010765	0.006873	0.182272
373		-0.002678	-0.003147	-0.002804	0.019864	0.008341	0.001295	0.026026	0.013515	0.243765
374		-0.000819	-0.000784	-0.000810	0.001597	0.000391	-0.000542	0.001820	0.000637	0.294661
375		0.000047	0.000491	0.000087	0.001503	0.000794	0.000619	0.001972	0.001295	0.296601
376		-0.001507	-0.000214	-0.001602	0.015814	0.006969	0.003846	0.018016	0.010890	0.301434
377		-0.000548	0.000462	-0.000510	0.001567	0.000521	0.001086	0.002714	0.001899	0.146292
378		-0.000173	-0.000495	-0.000180	0.002226	0.001023	-0.000285	0.002595	0.001152	0.212461
379		-0.000778	-0.001700	-0.000813	0.002045	0.000617	-0.001366	0.001639	0.000132	0.138171
380		0.000211	0.001323	0.000245	0.007121	0.003661	0.002809	0.010153	0.006470	0.324251
381		0.000459	-0.001025	0.000461	0.007903	0.004227	0.001445	0.017212	0.009271	0.129196
382		0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.276405
383		0.001906	0.000550	0.001856	0.008875	0.005375	0.001216	0.008259	0.004727	0.170238
384		0.000391	0.001703	0.000507	0.011867	0.006137	0.003430	0.012531	0.007964	0.224205
385		-0.003387	-0.002247	-0.003356	0.005018	0.000773	-0.001240	0.005885	0.002308	0.104450
386		0.000909	0.000367	0.000838	0.002382	0.001609	0.001090	0.002678	0.001883	0.204724
387		0.002544	0.001818	0.002442	0.006576	0.004506	0.003064	0.007422	0.005240	0.249536
388		-0.000287	0.000589	-0.000294	0.000849	0.000275	0.001009	0.002018	0.001513	0.277186
389		0.000292	0.001540	0.000363	0.004698	0.002499	0.002710	0.007937	0.005318	0.170326
390		0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.198722
391		-0.001870	-0.000696	-0.001709	0.003641	0.000939	-0.000160	0.004470	0.002149	0.186852
392		0.000753	0.001200	0.000801	0.003613	0.002209	0.001763	0.004846	0.003303	0.080861
393		0.000708	0.003127	0.001017	0.011759	0.006335	0.003961	0.012591	0.008262	0.250113
394		0.000449	0.001430	0.000673	0.015094	0.007829	0.002782	0.016614	0.009657	0.271787
395		0.001413	-0.006561	0.001143	0.056409	0.028697	0.000619	0.052720	0.026004	0.211487
396		-0.000919	0.000795	-0.000551	0.023922	0.011504	0.003870	0.023899	0.013798	0.257910
397		0.000725	0.001377	0.000682	0.001942	0.001310	0.001810	0.002766	0.002288	0.143678
398		-0.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.197793
399		0.000627	0.001012	0.000636	0.010212	0.005409	0.002009	0.010409	0.006194	0.197144
400		0.000254	-0.001115	0.000207	0.004021	0.002120	-0.000471	0.004389	0.001952	0.236636
401		-0.000098	0.002152	0.000137	0.005590	0.002846	0.002079	0.006643	0.004356	0.301727
402		-0.000226	-0.000730	-0.000225	0.001948	0.000861	-0.000081	0.001897	0.000907	0.182076
403		0.001543	0.002231	0.001568	0.004250	0.002907	0.002557	0.004812	0.003683	0.126345
404		0.000447	0.000909	0.000539	0.002752	0.001644	0.000898	0.004794	0.002842	0.263902
405		-0.000851	-0.000737	-0.000843	0.000959	0.000055	-0.000417	0.001645	0.000612	0.225752
406		0.000176	-0.000088	0.000151	0.006328	0.003224	0.001184	0.006543	0.003856	0.190453
407		0.000697	-0.000181	0.000642	0.001763	0.001202	0.000136	0.001921	0.001027	0.245368
408		-0.000087	-0.000357	-0.000082	0.001902	0.000909	-0.000201	0.001877	0.000837	0.321255
409		0.000327	0.000332	0.000329	0.001689	0.001007	0.000411	0.001952	0.001181	0.068065
410		0.000750	0.001840	0.000818	0.006278	0.003536	0.001856	0.006678	0.004263	0.104063
411		-0.001742	0.000035	-0.001649	0.003783	0.001036	0.001489	0.005830	0.003656	0.186748
412		-0.000095	0.000307	-0.000066	0.001464	0.000696	0.000548	0.001686	0.001117	0.279744
413		0.000108	-0.000023	0.000123	0.001585	0.000851	0.000476	0.001980	0.001228	0.167254
414		0.003225	0.001986	0.003172	0.005100	0.004139	0.002326	0.006037	0.004179	0.183869
415		-0.001957	-0.003194	-0.002036	0.012333	0.005106	-0.000527	0.012014	0.005703	0.259652
416		-0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.000000	0.261233
417		-0.000521	0.000085	-0.000491	0.001415	0.000456	0.000450	0.001683	0.001066	0.170798
418		0.000217	-0.000719	0.000187	0.001976	0.001083	-0.000641	0.001795	0.000575	0.193276
419		-0.000354	-0.000631	-0.000354	0.001549	0.000597	-0.000415	0.001836	0.000709	0.159527
420		-0.000436	0.000360	-0.000406	0.000788	0.000186	0.000548	0.001978	0.001262	0.173879
421		0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.222123
422		-0.001807	0.000278	-0.001741	0.002320	0.000264	0.001144	0.008029	0.004575	0.172285
423		0.002709	-0.002303	0.002446	0.021549	0.012123	0.000329	0.018517	0.009341	0.155217
424		0.000973	0.000492	0.000965	0.003489	0.002225	0.000946	0.005468	0.003202	0.176636
425		-0.001431	-0.001106	-0.001392	0.005765	0.002163	0.000065	0.006387	0.003215	0.289668
426		-0.001509	-0.000587	-0.001439	0.000462	-0.000497	-0.000321	0.001846	0.000761	0.179458
427		-0.000688	0.002364	-0.000528	0.006931	0.003149	0.003693	0.010610	0.007142	0.211522
428		-0.000658	-0.000066	-0.000654	0.001021	0.000180	0.000199	0.002137	0.001167	0.214754
429		-0.000046	0.000475	-0.000018	0.001495	0.000735	0.000724	0.001689	0.001206	0.218478
430		-0.000390	-0.002342	-0.000113	0.036228	0.018155	0.001445	0.033610	0.017285	0.240284
431		0.000024	0.000094	0.000023	0.001519	0.000769	0.000352	0.001946	0.001148	0.247284
432		0.001708	0.000303	0.001632	0.002489	0.002060	0.000505	0.002637	0.001570	0.174616
433		-0.000664	-0.001693	-0.000776	0.001988	0.000606	-0.000965	0.001671	0.000350	0.297956
434		0.001645	0.003929	0.001781	0.014049	0.007835	0.006077	0.018810	0.012415	0.295574
435		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.083756
436		-0.000455	-0.000591	-0.000445	0.001799	0.000674	-0.000490	0.001813	0.000660	0.141791
437		-0.000318	-0.001516	-0.000395	0.001986	0.000797	-0.001166	0.001593	0.000210	0.281219
438		0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.149852
439		0.004965	0.006187	0.005229	0.019054	0.012075	0.007589	0.019177	0.013362	0.218821
440		-0.000458	-0.000128	-0.000452	0.001187	0.000366	0.000176	0.001909	0.001042	0.246206
441		0.006508	0.005530	0.006654	0.020963	0.013788	0.007176	0.025360	0.016209	0.262506
442		-0.000062	-0.002701	-0.000221	0.029348	0.014571	0.001270	0.024194	0.012605	0.245551
443		0.002012	0.001626	0.002012	0.008049	0.005027	0.002169	0.008466	0.005310	0.123721
444		0.002250	0.002323	0.002254	0.061501	0.031062	0.013098	0.067697	0.039794	0.197626
445		0.002678	0.003953	0.002816	0.010678	0.006720	0.004591	0.012544	0.008557	0.212665
446		0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.166218
447		-0.000337	-0.001325	-0.000378	0.001004	0.000314	-0.000747	0.002471	0.000858	0.152782
448		-0.000663	0.001916	-0.000483	0.007749	0.003571	0.003554	0.010364	0.006951	0.163074
449		0.000557	0.001265	0.000587	0.001498	0.001042	0.001141	0.002035	0.001587	0.134006
450		0.000894	0.000715	0.000869	0.001158	0.001013	0.001052	0.001690	0.001371	0.133323
451		0.000902	0.001475	0.000959	0.001757	0.001357	0.001441	0.002064	0.001753	0.149849
452		0.001506	0.000031	0.001435	0.004582	0.003003	0.000364	0.004551	0.002452	0.199094
453		0.000004	-0.000038	0.000130	0.005954	0.003027	0.000497	0.006149	0.003315	0.215132
454		-0.001906	-0.000751	-0.001875	0.004158	0.001109	0.000212	0.005357	0.002778	0.128799
455		0.000024	0.002335	0.000031	0.006089	0.003014	0.003851	0.010938	0.007386	0.119238
456		-0.000060	-0.000135	-0.000045	0.003658	0.001797	0.000103	0.004563	0.002328	0.200118
457		0.001961	0.001016	0.001954	0.001737	0.001846	0.000708	0.001645	0.001176	0.159958
458		0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.256379
459		0.004732	0.000446	0.004682	0.047691	0.026309	0.005425	0.041535	0.023185	0.174144
460		-0.001021	-0.001436	-0.001012	0.006740	0.002857	-0.000353	0.006385	0.003004	0.156572
461		-0.003680	-0.000586	-0.003691	0.010480	0.003209	0.003666	0.023783	0.013636	0.271594
462		0.000790	0.001427	0.000809	0.001328	0.001067	0.001632	0.002075	0.001854	0.173785
463		-0.000352	0.000231	-0.000333	0.001350	0.000502	0.000667	0.001683	0.001175	0.175338
464		-0.000444	-0.001102	-0.000492	0.000933	0.000221	-0.000557	0.001612	0.000526	0.206437
465		-0.001637	0.000019	-0.001271	0.020596	0.009548	0.002270	0.021138	0.011624	0.265247
466		-0.000498	-0.000506	-0.000491	0.000948	0.000230	-0.000516	0.001640	0.000561	0.176696
467		0.000811	0.000728	0.000811	0.001707	0.001259	0.000879	0.002012	0.001445	0.195695
468		-0.001090	-0.000893	-0.001104	0.001301	0.000088	-0.000318	0.001629	0.000654	0.170773
469		0.000292	-0.000017	0.000273	0.001239	0.000758	0.000326	0.001656	0.000990	0.145640
470		0.000986	0.000535	0.001034	0.002121	0.001577	0.000206	0.001932	0.001068	0.218008
471		-0.003974	-0.000564	-0.003709	0.013402	0.004649	0.002556	0.018153	0.010300	0.158893
472		-0.000438	-0.000546	-0.000384	0.002121	0.000868	-0.000628	0.001747	0.000557	0.121443
473		-0.001624	-0.000337	-0.001570	0.008819	0.003579	0.001274	0.009845	0.005543	0.258644
474		0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.165960
475		-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.200698
476		0.000201	0.001016	0.000208	0.003102	0.001639	0.001531	0.004808	0.003167	0.123050
477		0.002508	0.001056	0.002484	0.006901	0.004699	0.002362	0.010040	0.006189	0.207351
478		0.000463	0.001020	0.000451	0.001605	0.001027	0.001376	0.001698	0.001537	0.268624
479		0.004197	0.004939	0.004333	0.007723	0.006027	0.004896	0.008206	0.006550	0.307700
480		0.000119	0.000340	0.000176	0.003811	0.001987	0.000619	0.004576	0.002593	0.181330
481		0.002777	0.000892	0.002763	0.004697	0.003732	0.000991	0.004684	0.002835	0.245696
482		0.002054	0.000330	0.002019	0.004948	0.003485	0.001434	0.007342	0.004381	0.173262
483		-0.001035	0.000415	-0.000921	0.004256	0.001652	0.001249	0.004800	0.003022	0.162431
484		0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.191527
485		0.000000	-0.000000	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.297748
486		-0.001045	-0.001229	-0.000987	0.005539	0.002262	-0.000573	0.006325	0.002863	0.216660
487		0.002731	0.002395	0.002849	0.005510	0.004178	0.002329	0.005624	0.003974	0.227295
488		0.000835	0.000827	0.000854	0.001720	0.001286	0.000976	0.002015	0.001495	0.196476
489		-0.000445	0.000524	-0.000376	0.001299	0.000459	0.000601	0.001975	0.001287	0.319044
490		0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.238019
491		-0.000487	-0.000162	-0.000501	0.001438	0.000463	0.000360	0.001677	0.001018	0.144509
492		-0.000400	-0.000512	-0.000432	0.003090	0.001321	-0.000183	0.004515	0.002160	0.231744
493		0.003130	0.001714	0.003162	0.009369	0.006278	0.003954	0.017964	0.010920	0.141724
494		-0.004483	-0.001963	-0.004350	0.025331	0.010187	0.005881	0.047895	0.026508	0.249924
495		-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.232919
496		-0.001054	-0.001142	-0.001011	0.004850	0.001907	-0.000702	0.004570	0.001925	0.170808
497		0.000413	-0.002239	0.000276	0.010217	0.005255	0.000055	0.012216	0.006098	0.145521
498		0.002460	0.000292	0.002246	0.012950	0.007602	0.001917	0.015632	0.008732	0.180281
499		-0.000331	0.000355	-0.000204	0.007171	0.003474	0.000450	0.008028	0.004226	0.197642
