Trial no.	Method 1	Method 2	Method 3	Method 4	Method 5	Method 6	Method 7	Method 8	Self inflation
64		0.000154	-0.000959	0.000146	0.003963	0.002058	0.000543	0.006283	0.003406	0.134334
65		-0.001466	-0.001044	-0.001490	0.002898	0.000688	-0.000144	0.004630	0.002236	0.245822
66		0.001189	0.000802	0.001171	0.004401	0.002781	0.001541	0.006653	0.004092	0.206535
67		-0.001115	-0.000529	-0.001146	0.001278	0.000055	0.000188	0.001669	0.000928	0.174248
68		-0.000124	0.000571	0.000066	0.010426	0.005214	0.001522	0.010091	0.005790	0.301172
69		0.000257	-0.000627	0.000240	0.011808	0.006053	0.000357	0.012195	0.006243	0.212905
70		-0.000469	-0.000524	-0.000449	0.007516	0.003510	0.000941	0.008063	0.004491	0.118920
71		-0.000766	-0.000559	-0.000800	0.003084	0.001129	0.000465	0.004701	0.002578	0.135033
72		0.000332	0.001675	0.000413	0.003573	0.001981	0.001947	0.004844	0.003394	0.179383
73		-0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.119087
74		0.000430	-0.000275	0.000385	0.001252	0.000818	-0.000180	0.001646	0.000732	0.258152
75		0.000641	0.000213	0.000603	0.001040	0.000821	0.000077	0.001381	0.000729	0.192230
76		-0.000838	-0.000618	-0.000795	0.001031	0.000114	-0.000181	0.001850	0.000833	0.146491
77		0.000872	0.000236	0.000860	0.002158	0.001507	0.000223	0.001939	0.001080	0.241680
78		-0.001273	-0.000368	-0.001217	0.005052	0.001899	0.000435	0.006145	0.003282	0.152952
79		0.000123	0.000030	0.000115	0.001770	0.000947	0.000175	0.001899	0.001036	0.077566
80		0.001571	-0.000521	0.001415	0.016002	0.008630	0.003558	0.023775	0.013576	0.211446
81		-0.001886	-0.001243	-0.001777	0.007398	0.002776	0.000258	0.009953	0.005082	0.270079
82		0.000438	0.000646	0.000446	0.001531	0.000987	0.000782	0.002002	0.001392	0.073165
83		0.001288	-0.002851	0.001143	0.011723	0.006482	-0.001730	0.010566	0.004372	0.147792
84		0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.272729
85		0.000632	0.001325	0.000664	0.001676	0.001170	0.001243	0.001700	0.001472	0.079982
86		-0.001029	-0.002405	-0.001050	0.005447	0.002197	-0.000759	0.010983	0.005072	0.152350
87		-0.004748	-0.004215	-0.003931	0.096474	0.044524	0.007419	0.092654	0.048429	0.300782
88		0.001349	0.000799	0.001246	0.004629	0.002935	0.001304	0.006604	0.003948	0.169941
89		0.001371	-0.000121	0.001284	0.008639	0.004970	0.002012	0.010357	0.006168	0.197888
90		-0.000322	-0.001424	-0.000333	0.004827	0.002243	-0.000386	0.007384	0.003483	0.232934
91		0.001202	0.000507	0.001156	0.005812	0.003470	0.002359	0.012761	0.007538	0.233583
92		0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.251556
93		0.001753	0.002026	0.001736	0.005755	0.003730	0.002956	0.006812	0.004882	0.097876
94		-0.002593	-0.001548	-0.002500	0.009317	0.003338	0.000581	0.010636	0.005584	0.227497
95		0.002511	-0.005878	0.003301	0.236863	0.116171	0.008498	0.137074	0.069083	0.216657
96		0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.187822
97		-0.003846	-0.000554	-0.003732	0.004698	0.000389	0.000900	0.011564	0.006205	0.214515
